CHANNEL;OXYGEN AIR SAT;TIME ABS;TIME REL;
2;21.266;1635804421.493159;3733.569840192795;
1;21.342;1635804422.2017024;3734.2783834934235;
2;21.241;1635804422.793571;3734.8702521324158;
1;21.334;1635804423.5079181;3735.5845992565155;
2;21.24;1635804424.1018002;3736.1784813404083;
1;21.353;1635804424.8120139;3736.888695001602;
2;21.22;1635804425.4046757;3737.481356859207;
1;21.347;1635804426.1142666;3738.1909477710724;
2;21.21;1635804426.70849;3738.785171031952;
1;21.353;1635804427.435054;3739.511735200882;
2;21.199;1635804428.0286524;3740.1053335666656;
1;21.349;1635804428.739413;3740.81609416008;
2;21.214;1635804429.3386636;3741.4153447151184;
1;21.358;1635804430.0480034;3742.12468457222;
2;21.267;1635804430.644521;3742.721202135086;
1;21.352;1635804431.3549063;3743.431587457657;
2;21.257;1635804431.9499717;3744.0266528129578;
1;21.35;1635804432.6779237;3744.7546048164368;
2;21.25;1635804433.271176;3745.347857236862;
1;21.348;1635804433.97965;3746.0563311576843;
2;21.26;1635804434.583502;3746.6601831912994;
1;21.341;1635804435.2992992;3747.3759803771973;
2;21.276;1635804435.8942902;3747.9709713459015;
1;21.339;1635804436.6040561;3748.680737257004;
2;21.272;1635804437.1966202;3749.2733013629913;
1;21.342;1635804437.9148934;3749.991574525833;
2;21.252;1635804438.5079608;3750.584641933441;
1;21.332;1635804439.2636993;3751.3403804302216;
2;21.242;1635804439.8591652;3751.9358463287354;
1;21.338;1635804440.571128;3752.6478090286255;
2;21.232;1635804441.163788;3753.2404692173004;
1;21.342;1635804441.87791;3753.954591035843;
2;21.237;1635804442.4976902;3754.5743713378906;
1;21.346;1635804443.2078393;3755.2845203876495;
2;21.232;1635804443.8058386;3755.882519721985;
1;21.355;1635804444.519008;3756.595689058304;
2;21.219;1635804445.111765;3757.188446044922;
1;21.345;1635804445.8244824;3757.9011635780334;
2;21.212;1635804446.4172664;3758.493947505951;
1;21.34;1635804447.1278603;3759.2045414447784;
2;21.21;1635804447.7201617;3759.796842813492;
1;21.342;1635804448.4307554;3760.5074365139008;
2;21.19;1635804449.0207727;3761.0974538326263;
1;21.35;1635804449.7346396;3761.8113207817078;
2;21.247;1635804450.3296466;3762.406327724457;
1;21.34;1635804451.0389178;3763.1155989170074;
2;21.259;1635804451.6319308;3763.7086119651794;
1;21.344;1635804452.3406782;3764.417359352112;
2;21.242;1635804452.9329252;3765.009606361389;
1;21.345;1635804453.6397572;3765.716438293457;
2;21.226;1635804454.2429757;3766.3196568489075;
1;21.351;1635804454.9686377;3767.045318841934;
2;21.221;1635804455.5675187;3767.644199848175;
1;21.343;1635804456.2792983;3768.3559794425964;
2;21.203;1635804456.8812475;3768.9579286575317;
1;21.348;1635804457.599079;3769.6757600307465;
2;21.224;1635804458.201254;3770.277935028076;
1;21.348;1635804458.9091349;3770.985816001892;
2;21.231;1635804459.5077806;3771.5844616889954;
1;21.341;1635804460.2201364;3772.2968175411224;
2;21.218;1635804460.819083;3772.8957641124725;
1;21.35;1635804461.5289514;3773.605632543564;
2;21.223;1635804462.1249077;3774.201588869095;
1;21.341;1635804462.8365476;3774.913228750229;
2;21.242;1635804463.428629;3775.5053100585938;
1;21.336;1635804464.1399019;3776.2165830135345;
2;21.224;1635804464.7343204;3776.8110015392303;
1;21.347;1635804465.513769;3777.5904500484467;
2;21.217;1635804466.1088967;3778.1855778694153;
1;21.343;1635804466.8167572;3778.8934383392334;
2;21.212;1635804467.415387;3779.492068052292;
1;21.33;1635804468.127098;3780.203779220581;
2;21.201;1635804468.7648191;3780.8415002822876;
1;21.356;1635804469.4931483;3781.5698294639587;
2;21.199;1635804470.0949118;3782.171592950821;
1;21.352;1635804470.8208325;3782.897513628006;
2;21.192;1635804471.417443;3783.494124174118;
1;21.353;1635804472.1290553;3784.205736398697;
2;21.201;1635804472.7290409;3784.8057219982147;
1;21.337;1635804473.4405644;3785.517245531082;
2;21.209;1635804474.0344198;3786.111100912094;
1;21.343;1635804474.7435365;3786.8202176094055;
2;21.205;1635804475.3366835;3787.413364648819;
1;21.34;1635804476.0624485;3788.139129638672;
2;21.199;1635804476.653509;3788.730190038681;
1;21.345;1635804477.3631272;3789.439808368683;
2;21.237;1635804477.9573414;3790.0340225696564;
1;21.344;1635804478.6705515;3790.7472326755524;
2;21.249;1635804479.3291926;3791.405873775482;
1;21.344;1635804480.0558863;3792.1325674057007;
2;21.238;1635804480.6487749;3792.7254559993744;
1;21.349;1635804481.3740706;3793.4507517814636;
2;21.233;1635804481.9696734;3794.046354532242;
1;21.344;1635804482.6802154;3794.756896495819;
2;21.211;1635804483.2742991;3795.35098028183;
1;21.343;1635804483.998287;3796.074968099594;
2;21.203;1635804484.5991879;3796.675868988037;
1;21.348;1635804485.3096757;3797.386356830597;
2;21.198;1635804485.9074388;3797.9841198921204;
1;21.341;1635804486.6172895;3798.693970680237;
2;21.223;1635804487.2090533;3799.2857344150543;
1;21.341;1635804487.9214406;3799.998121738434;
2;21.219;1635804488.5179293;3800.594610452652;
1;21.346;1635804489.2453835;3801.322064638138;
2;21.202;1635804489.9107485;3801.9874296188354;
1;21.35;1635804490.6204;3802.69708108902;
2;21.216;1635804491.2180054;3803.2946865558624;
1;21.343;1635804491.9221354;3803.9988164901733;
2;21.224;1635804492.5221195;3804.5988006591797;
1;21.347;1635804493.2312975;3805.307978630066;
2;21.227;1635804493.8273528;3805.9040338993073;
1;21.341;1635804494.5368261;3806.613507270813;
2;21.25;1635804495.1322052;3807.208886384964;
1;21.343;1635804495.8437583;3807.9204394817352;
2;21.245;1635804496.4447093;3808.52139043808;
1;21.351;1635804497.1537204;3809.2304015159607;
2;21.24;1635804497.757793;3809.8344740867615;
1;21.34;1635804498.4828846;3810.559565782547;
2;21.223;1635804499.0754151;3811.152096271515;
1;21.344;1635804499.7848907;3811.861571788788;
2;21.244;1635804500.3808732;3812.4575543403625;
1;21.347;1635804501.1587348;3813.2354159355164;
2;21.251;1635804501.7542002;3813.830881357193;
1;21.336;1635804502.4650216;3814.541702747345;
2;21.248;1635804503.0595903;3815.1362714767456;
1;21.338;1635804503.769498;3815.8461792469025;
2;21.22;1635804504.4050806;3816.4817616939545;
1;21.336;1635804505.117934;3817.194615125656;
2;21.214;1635804505.717885;3817.79456615448;
1;21.344;1635804506.427804;3818.50448513031;
2;21.196;1635804507.029084;3819.105765104294;
1;21.342;1635804507.7377782;3819.814459323883;
2;21.199;1635804508.330048;3820.406729221344;
1;21.335;1635804509.041563;3821.1182441711426;
2;21.208;1635804509.6444843;3821.721165418625;
1;21.342;1635804510.3516822;3822.4283633232117;
2;21.222;1635804510.9448032;3823.021484375;
1;21.343;1635804511.6551447;3823.7318258285522;
2;21.225;1635804512.2622347;3824.33891582489;
1;21.347;1635804512.9752011;3825.0518822669983;
2;21.212;1635804513.5804772;3825.6571583747864;
1;21.348;1635804514.294483;3826.371164083481;
2;21.195;1635804514.8918073;3826.9684884548187;
1;21.342;1635804515.6015007;3827.678181886673;
2;21.183;1635804516.1989722;3828.275653362274;
1;21.347;1635804516.9088333;3828.9855144023895;
2;21.179;1635804517.4998994;3829.5765805244446;
1;21.343;1635804518.2079432;3830.28462433815;
2;21.211;1635804518.8069766;3830.883657693863;
1;21.343;1635804519.5351193;3831.611800432205;
2;21.224;1635804520.12379;3832.200471162796;
1;21.343;1635804520.8363478;3832.9130289554596;
2;21.255;1635804521.435444;3833.5121252536774;
1;21.338;1635804522.145631;3834.2223122119904;
2;21.25;1635804522.7465239;3834.8232049942017;
1;21.343;1635804523.4556448;3835.5323259830475;
2;21.243;1635804524.0499675;3836.1266486644745;
1;21.343;1635804524.7581718;3836.8348529338837;
2;21.223;1635804525.3528407;3837.4295217990875;
1;21.353;1635804526.0612574;3838.1379384994507;
2;21.208;1635804526.66001;3838.736691236496;
1;21.328;1635804527.4307218;3839.507402896881;
2;21.197;1635804528.0230122;3840.09969329834;
1;21.344;1635804528.7348895;3840.8115706443787;
2;21.192;1635804529.328724;3841.4054050445557;
1;21.336;1635804530.0389626;3842.1156437397003;
2;21.186;1635804530.6393979;3842.7160789966583;
1;21.347;1635804531.351316;3843.427997112274;
